sn,Site,Filename,time_start,time_end,freq_low,freq_high,classid,species,sound_class,GroundTruth,score_initial,score_reinforcement
667,GFN,GFN_20200525_030000.wav,259810,261307,1325,1871,101,Otus spilocephalus,S-01,1,0.407,0.515
668,GFN,GFN_20200525_210000.wav,136430,137339,1438,1836,101,Otus spilocephalus,S-01,1,0.727,0.508
669,GFN,GFN_20200525_210000.wav,312821,313000,1352,1819,101,Otus spilocephalus,S-01,1,0.249,0.261
670,GFN,GFN_20200526_190000.wav,507277,508416,1191,1768,101,Otus spilocephalus,S-01,1,0.879,0.806
671,GFN,GFN_20200526_210000.wav,65963,67092,1243,1751,101,Otus spilocephalus,S-01,1,0.863,0.771
672,GFN,GFN_20200527_190000.wav,93138,93374,465,862,88,Ninox japonica,S-01,0,0.393,0
673,GFN,GFN_20200528_020000.wav,312735,313847,1243,1701,101,Otus spilocephalus,S-01,1,0.199,0
674,GFN,GFN_20200528_180000.wav,227753,227975,538,820,88,Ninox japonica,S-01,0,0.5,0.17
675,GFN,GFN_20200529_020000.wav,570666,571703,1367,1889,101,Otus spilocephalus,S-01,1,0.705,0.607
676,GFN,GFN_20200529_220000.wav,450270,451753,1178,1718,101,Otus spilocephalus,S-01,1,0.872,0.694
677,GFN,GFN_20200530_000000.wav,332936,333989,1270,1735,101,Otus spilocephalus,S-01,1,0.758,0.739
678,GFN,GFN_20200530_020000.wav,594021,595122,1339,1907,101,Otus spilocephalus,S-01,1,0.606,0.763
679,GFN,GFN_20200530_200000.wav,240055,241092,1395,1836,101,Otus spilocephalus,S-01,1,0.382,0.569
680,GFN,GFN_20200530_220000.wav,49183,50133,1438,1854,101,Otus spilocephalus,S-01,1,0.543,0.613
681,GFN,GFN_20200530_230000.wav,335589,336766,1311,1751,101,Otus spilocephalus,S-01,1,0.355,0.67
682,GFN,GFN_20200531_020000.wav,344957,345904,1453,1854,101,Otus spilocephalus,S-01,1,0.587,0.677
683,GFN,GFN_20200531_040000.wav,595087,595295,538,1066,98,Otus lettia,S-01,1,0.524,0.513
684,GFN,GFN_20200601_010000.wav,8745,9945,1217,1768,101,Otus spilocephalus,S-01,1,0.646,0.745
685,GFN,GFN_20200601_020000.wav,197279,198000,1453,1854,101,Otus spilocephalus,S-01,1,0.455,0
686,GFN,GFN_20200601_220000.wav,30165,31360,1257,1685,101,Otus spilocephalus,S-01,1,0.246,0.321
687,GFN,GFN_20200602_020000.wav,403594,404619,1367,1854,101,Otus spilocephalus,S-01,1,0.56,0.731
688,GFN,GFN_20200603_020000.wav,381775,382766,1483,1802,101,Otus spilocephalus,S-01,1,0.104,0.289
689,GFN,GFN_20200603_040000.wav,495083,495986,1424,1836,101,Otus spilocephalus,S-01,1,0.728,0.622
690,GFN,GFN_20200603_060000.wav,507000,507406,186,513,115,Strix leptogrammica,S-01,0,0.365,0.187
691,GFN,GFN_20200604_010000.wav,321791,322945,1204,1685,101,Otus spilocephalus,S-01,1,0.675,0.592
692,GFN,GFN_20200604_020000.wav,221562,222856,1297,1836,101,Otus spilocephalus,S-01,1,0.677,0.732
693,GFN,GFN_20200604_030000.wav,55743,56748,1352,1889,101,Otus spilocephalus,S-01,1,0.675,0.703
694,GFN,GFN_20200605_000000.wav,465200,466252,1243,1751,101,Otus spilocephalus,S-01,1,0.788,0.731
695,GFN,GFN_20200605_190000.wav,258517,259698,1243,1907,101,Otus spilocephalus,S-01,1,0.802,0.713
696,GFN,GFN_20200605_230000.wav,513755,514856,1325,1854,101,Otus spilocephalus,S-01,1,0.392,0.691
697,GFN,GFN_20200607_010000.wav,255245,256470,1284,1785,101,Otus spilocephalus,S-01,1,0.828,0.712
698,GFN,GFN_20200607_010000.wav,511000,511812,1243,1751,101,Otus spilocephalus,S-01,1,0.494,0.703
699,GFN,GFN_20200607_040000.wav,346305,347382,1153,1768,101,Otus spilocephalus,S-01,1,0.828,0.789
700,GFN,GFN_20200607_040000.wav,447698,448000,1230,1785,101,Otus spilocephalus,S-01,1,0.252,0.631
701,GFN,GFN_20200608_040000.wav,578665,579862,1230,1768,101,Otus spilocephalus,S-01,1,0.699,0.29
702,GFN,GFN_20200609_030000.wav,543922,544986,1257,1768,101,Otus spilocephalus,S-01,1,0.597,0.782
703,GFN,GFN_20200609_040000.wav,541759,542952,1243,1768,101,Otus spilocephalus,S-01,1,0.684,0.736
704,GFN,GFN_20200609_210000.wav,263390,264586,1217,1685,101,Otus spilocephalus,S-01,1,0.482,0.25
705,GFN,GFN_20200610_200000.wav,73739,74931,1284,1854,101,Otus spilocephalus,S-01,1,0.811,0.771
706,GFN,GFN_20200610_220000.wav,448599,449789,1230,1960,101,Otus spilocephalus,S-01,1,0.742,0.787
707,GFN,GFN_20200611_030000.wav,433330,435491,1191,1768,101,Otus spilocephalus,S-01,1,0.885,0.818
708,GFN,GFN_20200611_030000.wav,493741,494890,1217,1751,101,Otus spilocephalus,S-01,1,0.852,0.804
709,GFN,GFN_20200611_230000.wav,158722,159776,1325,1907,101,Otus spilocephalus,S-01,1,0.659,0.71
710,GFN,GFN_20200613_020000.wav,78103,79947,1243,1718,101,Otus spilocephalus,S-01,1,0.294,0.779
711,GFN,GFN_20200613_020000.wav,91034,92294,1257,1751,101,Otus spilocephalus,S-01,1,0.467,0.176
712,GFN,GFN_20200613_020000.wav,218365,219911,1297,1854,101,Otus spilocephalus,S-01,1,0.442,0.378
713,GFN,GFN_20200613_030000.wav,133317,135000,1284,1907,101,Otus spilocephalus,S-01,1,0.302,0.749
714,GFN,GFN_20200613_030000.wav,360383,361580,1297,1907,101,Otus spilocephalus,S-01,1,0.406,0.772
715,GFN,GFN_20200613_200000.wav,383856,384000,1230,1701,101,Otus spilocephalus,S-01,1,0.216,0.358
716,GFN,GFN_20200614_020000.wav,482374,483000,1230,1685,101,Otus spilocephalus,S-01,1,0.205,0.557
717,GFN,GFN_20200614_200000.wav,101131,102492,1217,1751,101,Otus spilocephalus,S-01,1,0.512,0.69
718,GFN,GFN_20200614_210000.wav,82034,83156,1257,1907,101,Otus spilocephalus,S-01,1,0.793,0.782
719,GFN,GFN_20200617_190000.wav,493493,494911,1367,1836,101,Otus spilocephalus,S-01,1,0.412,0.51
720,GFN,GFN_20200617_210000.wav,187423,188771,1217,1701,101,Otus spilocephalus,S-01,1,0.469,0.544
721,GFN,GFN_20200620_000000.wav,363794,364000,1230,1751,101,Otus spilocephalus,S-01,1,0.182,0.12
722,GFN,GFN_20200620_000000.wav,466602,467000,1230,1785,101,Otus spilocephalus,S-01,1,0.262,0.596
723,GFN,GFN_20200620_050000.wav,85975,86531,151,505,115,Strix leptogrammica,S-01,0,0.812,0.26
724,GFN,GFN_20200620_050000.wav,154849,155403,168,513,115,Strix leptogrammica,S-01,0,0.852,0.731
725,GFN,GFN_20200620_050000.wav,206452,207030,157,489,115,Strix leptogrammica,S-01,0,0.825,0.663
726,GFN,GFN_20200620_230000.wav,404626,405775,1178,1653,101,Otus spilocephalus,S-01,1,0.166,0.644
727,GFN,GFN_20200621_030000.wav,585892,586945,1230,1735,101,Otus spilocephalus,S-01,1,0.826,0.592
728,GFN,GFN_20200621_060000.wav,169571,170328,133,481,115,Strix leptogrammica,S-01,0,0.289,0
729,GFN,GFN_20200621_170000.wav,550709,551128,337,720,116,Strix nivicolum,S-01,0,0.367,0
730,GFN,GFN_20200622_170000.wav,219069,220986,862,1204,66,Glaucidium brodiei,S-01,0,0.338,0
731,GFN,GFN_20200622_170000.wav,269067,270931,873,1257,66,Glaucidium brodiei,S-01,0,0.118,0
732,GFN,GFN_20200623_210000.wav,293491,294000,1217,1768,101,Otus spilocephalus,S-01,1,0.659,0.624
733,GFN,GFN_20200623_220000.wav,173443,174686,1257,1735,101,Otus spilocephalus,S-01,1,0.816,0.396
734,GFN,GFN_20200624_010000.wav,232901,234256,1153,1685,101,Otus spilocephalus,S-01,1,0.861,0.851
735,GFN,GFN_20200624_180000.wav,597000,597467,830,1191,66,Glaucidium brodiei,S-01,0,0.217,0
736,GFN,GFN_20200625_060000.wav,329000,329589,133,441,115,Strix leptogrammica,S-01,0,0.233,0.172
737,GFN,GFN_20200625_060000.wav,407486,407993,162,489,115,Strix leptogrammica,S-01,0,0.484,0
738,GFN,GFN_20200625_060000.wav,435373,436000,151,497,115,Strix leptogrammica,S-01,0,0.652,0
739,GFN,GFN_20200626_180000.wav,422803,424121,841,1191,66,Glaucidium brodiei,S-01,0,0.777,0
740,GFN,GFN_20200626_190000.wav,571000,571131,465,1042,98,Otus lettia,S-01,0,0.167,0.538
741,GFN,GFN_20200626_210000.wav,298805,299973,1217,1685,101,Otus spilocephalus,S-01,1,0.813,0.574
742,GFN,GFN_20200627_060000.wav,3741,5375,1257,1685,101,Otus spilocephalus,S-01,0,0.644,0
743,GFN,GFN_20200628_060000.wav,207041,207888,111,433,115,Strix leptogrammica,S-01,0,0.427,0
744,GFN,GFN_20200628_060000.wav,211202,211580,157,505,115,Strix leptogrammica,S-01,0,0.286,0
745,GFN,GFN_20200628_060000.wav,245201,245709,157,497,115,Strix leptogrammica,S-01,0,0.331,0.474
746,GFN,GFN_20200629_030000.wav,99250,99442,497,1054,98,Otus lettia,S-01,1,0.673,0.698
747,GFN,GFN_20200629_030000.wav,113128,113327,505,1030,98,Otus lettia,S-01,1,0.831,0.772
748,GFN,GFN_20200630_060000.wav,394851,395126,710,1669,98,Otus lettia,S-01,0,0.314,0
749,GFN,GFN_20200701_040000.wav,561000,561405,1257,1802,101,Otus spilocephalus,S-01,1,0.469,0.715
750,GFN,GFN_20200701_060000.wav,495028,495580,133,489,115,Strix leptogrammica,S-01,0,0.552,0
751,GFN,GFN_20200704_020000.wav,95929,97064,1257,1718,101,Otus spilocephalus,S-01,1,0.572,0.73
752,GFN,GFN_20200704_170000.wav,98801,99000,373,799,116,Strix nivicolum,S-01,0,0.678,0.455
753,GFN,GFN_20200706_170000.wav,314309,316224,883,1217,66,Glaucidium brodiei,S-01,0,0.326,0
754,GFN,GFN_20200707_190000.wav,98982,99222,344,681,88,Ninox japonica,S-01,1,0.812,0.71
755,GFN,GFN_20200707_190000.wav,99654,99929,337,720,88,Ninox japonica,S-01,1,0.833,0.722
756,GFN,GFN_20200707_190000.wav,102940,103216,236,759,88,Ninox japonica,S-01,1,0.742,0.69
757,GFN,GFN_20200707_190000.wav,103839,104073,366,799,88,Ninox japonica,S-01,1,0.819,0.741
758,GFN,GFN_20200707_190000.wav,104452,104679,403,789,88,Ninox japonica,S-01,1,0.824,0.731
759,GFN,GFN_20200707_190000.wav,105977,106199,410,820,88,Ninox japonica,S-01,1,0.823,0.74
760,GFN,GFN_20200707_190000.wav,294172,294422,441,862,88,Ninox japonica,S-01,1,0.681,0.528
761,GFN,GFN_20200707_190000.wav,295761,295966,473,873,88,Ninox japonica,S-01,1,0.541,0.456
762,GFN,GFN_20200707_190000.wav,311131,311353,530,851,88,Ninox japonica,S-01,1,0.64,0.535
763,GFN,GFN_20200708_190000.wav,105771,105986,449,799,88,Ninox japonica,S-01,1,0.806,0.704
764,GFN,GFN_20200708_190000.wav,259178,259419,351,873,88,Ninox japonica,S-01,1,0.721,0.68
765,GFN,GFN_20200708_190000.wav,262220,262470,337,894,88,Ninox japonica,S-01,1,0.642,0.589
766,GFN,GFN_20200708_190000.wav,264337,264587,337,841,88,Ninox japonica,S-01,1,0.759,0.606
767,GFN,GFN_20200708_230000.wav,379335,379528,522,1054,98,Otus lettia,S-01,0,0.344,0.355
768,GFN,GFN_20200709_190000.wav,403844,404050,457,799,88,Ninox japonica,S-01,1,0.78,0.675
769,GFN,GFN_20200709_190000.wav,405782,406105,316,851,88,Ninox japonica,S-01,1,0.793,0.646
770,GFN,GFN_20200709_190000.wav,424369,424719,236,883,88,Ninox japonica,S-01,1,0.685,0.617
771,GFN,GFN_20200710_040000.wav,37229,37993,1438,1819,101,Otus spilocephalus,S-01,1,0.457,0.434
772,GFN,GFN_20200710_190000.wav,303190,303404,426,749,88,Ninox japonica,S-01,0,0.14,0.273
773,GFN,GFN_20200710_190000.wav,382229,382436,489,799,88,Ninox japonica,S-01,1,0.646,0.522
774,GFN,GFN_20200710_190000.wav,391509,391828,249,810,88,Ninox japonica,S-01,1,0.781,0.623
775,GFN,GFN_20200710_190000.wav,396272,396494,489,841,88,Ninox japonica,S-01,1,0.772,0.534
776,GFN,GFN_20200711_050000.wav,146101,147931,862,1284,66,Glaucidium brodiei,S-01,0,0.199,0.323
777,GFN,GFN_20200711_190000.wav,3734,3989,395,710,88,Ninox japonica,S-01,1,0.538,0.422
778,GFN,GFN_20200711_190000.wav,10963,11280,262,873,88,Ninox japonica,S-01,1,0.752,0.682
779,GFN,GFN_20200711_190000.wav,187961,188195,410,799,88,Ninox japonica,S-01,1,0.711,0.639
780,GFN,GFN_20200711_190000.wav,188619,188828,497,799,88,Ninox japonica,S-01,1,0.797,0.681
781,GFN,GFN_20200713_020000.wav,222461,223610,1243,1889,101,Otus spilocephalus,S-01,1,0.68,0.776
782,GFN,GFN_20200713_060000.wav,266709,267218,133,465,115,Strix leptogrammica,S-01,0,0.556,0
783,GFN,GFN_20200713_060000.wav,464378,465216,122,473,115,Strix leptogrammica,S-01,0,0.213,0
784,GFN,GFN_20200714_180000.wav,494222,494530,590,1621,98,Otus lettia,S-01,0,0.595,0
785,GFN,GFN_20200714_190000.wav,168780,169057,295,691,88,Ninox japonica,S-01,1,0.83,0.765
786,GFN,GFN_20200714_190000.wav,272826,273142,269,830,88,Ninox japonica,S-01,1,0.776,0.633
787,GFN,GFN_20200714_190000.wav,273000,273117,380,820,116,Strix nivicolum,S-01,0,0.382,0.406
788,GFN,GFN_20200714_190000.wav,283089,283491,255,905,88,Ninox japonica,S-01,1,0.836,0.729
789,GFN,GFN_20200714_190000.wav,283716,284018,242,883,88,Ninox japonica,S-01,1,0.817,0.679
790,GFN,GFN_20200714_190000.wav,393729,394025,323,820,88,Ninox japonica,S-01,1,0.665,0.668
791,GFN,GFN_20200714_190000.wav,394334,394652,289,820,88,Ninox japonica,S-01,1,0.801,0.634
792,GFN,GFN_20200714_190000.wav,395649,395986,236,916,88,Ninox japonica,S-01,1,0.776,0.618
793,GFN,GFN_20200714_190000.wav,397153,397381,530,851,88,Ninox japonica,S-01,1,0.745,0.49
794,GFN,GFN_20200714_190000.wav,401557,401895,249,873,88,Ninox japonica,S-01,1,0.772,0.67
795,GFN,GFN_20200714_190000.wav,405782,406158,269,883,88,Ninox japonica,S-01,1,0.819,0.628
796,GFN,GFN_20200714_190000.wav,408016,408400,282,905,88,Ninox japonica,S-01,1,0.819,0.699
797,GFN,GFN_20200714_190000.wav,521658,521952,295,883,88,Ninox japonica,S-01,1,0.809,0.661
798,GFN,GFN_20200714_190000.wav,550819,551161,262,894,88,Ninox japonica,S-01,1,0.81,0.64
799,GFS,GFS_20190716_060000.wav,477000,477124,473,1066,98,Otus lettia,S-01,0,0.493,0.293
800,GFS,GFS_20190717_030000.wav,550920,551142,505,799,88,Ninox japonica,S-01,1,0.476,0.593
801,GFS,GFS_20190717_060000.wav,410007,410229,538,830,88,Ninox japonica,S-01,0,0.493,0.546
802,GFS,GFS_20190717_060000.wav,553577,554787,1543,1889,101,Otus spilocephalus,S-01,0,0.164,0
803,GFS,GFS_20190717_170000.wav,394739,394947,581,862,88,Ninox japonica,S-01,0,0.238,0.185
804,GFS,GFS_20190718_170000.wav,463572,465670,1284,1685,101,Otus spilocephalus,S-01,0,0.648,0
805,GFS,GFS_20190718_170000.wav,591000,594009,1284,1718,101,Otus spilocephalus,S-01,0,0.311,0
806,GFS,GFS_20190719_170000.wav,383000,383310,851,1230,66,Glaucidium brodiei,S-01,0,0.581,0
807,GFS,GFS_20190719_190000.wav,247922,248170,388,1191,98,Otus lettia,S-01,1,0.762,0.835
808,GFS,GFS_20190719_190000.wav,269348,269611,358,1115,98,Otus lettia,S-01,1,0.658,0.846
809,GFS,GFS_20190719_190000.wav,278989,279264,358,1103,98,Otus lettia,S-01,1,0.678,0.856
810,GFS,GFS_20190719_190000.wav,320183,320459,373,1091,98,Otus lettia,S-01,1,0.605,0.85
811,GFS,GFS_20190720_060000.wav,90812,91009,373,672,88,Ninox japonica,S-01,0,0.68,0.148
812,GFS,GFS_20190722_180000.wav,300915,303842,851,1230,66,Glaucidium brodiei,S-01,0,0.264,0
813,GFS,GFS_20190722_190000.wav,212918,213112,465,1140,98,Otus lettia,S-01,1,0.373,0.72
814,GFS,GFS_20190723_000000.wav,98011,99482,1270,1854,101,Otus spilocephalus,S-01,1,0.843,0.79
815,GFS,GFS_20190726_180000.wav,286233,288589,1297,1735,101,Otus spilocephalus,S-01,0,0.371,0
816,GFS,GFS_20190726_220000.wav,112392,113156,162,473,115,Strix leptogrammica,S-01,0,0.555,0
817,GFS,GFS_20190729_060000.wav,184124,186436,779,1230,66,Glaucidium brodiei,S-01,0,0.412,0.426
818,GFS,GFS_20190729_170000.wav,105654,105917,6267,7564,116,Strix nivicolum,S-01,0,0.142,0
819,GFS,GFS_20190729_170000.wav,287585,287794,564,830,88,Ninox japonica,S-01,0,0.396,0
820,GFS,GFS_20190729_190000.wav,69578,69780,473,1042,98,Otus lettia,S-01,1,0.327,0.705
821,GFS,GFS_20190730_060000.wav,121156,122000,799,1243,66,Glaucidium brodiei,S-01,0,0.346,0.18
822,GFS,GFS_20190731_050000.wav,439149,441890,1270,1785,101,Otus spilocephalus,S-01,0,0.198,0
823,GFS,GFS_20190731_180000.wav,275007,276917,841,1153,66,Glaucidium brodiei,S-01,0,0.615,0.144
824,GFS,GFS_20190731_220000.wav,192337,192567,564,862,88,Ninox japonica,S-01,0,0.311,0
825,GFS,GFS_20190801_060000.wav,452491,453938,759,1297,66,Glaucidium brodiei,S-01,0,0.595,0.67
826,GFS,GFS_20190802_230000.wav,157947,158167,530,1054,98,Otus lettia,S-01,1,0.644,0.797
827,GFS,GFS_20190802_230000.wav,213352,213594,663,1128,98,Otus lettia,S-01,1,0.551,0.366
828,GFS,GFS_20190804_040000.wav,340585,341769,1395,1785,101,Otus spilocephalus,S-01,1,0.59,0.544
829,GFS,GFS_20190804_040000.wav,579323,580039,157,457,115,Strix leptogrammica,S-01,0,0.285,0
830,GFS,GFS_20190806_180000.wav,191062,192950,841,1204,66,Glaucidium brodiei,S-01,0,0.318,0
831,GFS,GFS_20190814_040000.wav,410000,411989,1339,1751,101,Otus spilocephalus,S-01,1,0.465,0
832,GFS,GFS_20190814_060000.wav,527000,527350,729,1204,66,Glaucidium brodiei,S-01,0,0.137,0
833,GFS,GFS_20190814_180000.wav,28350,32231,810,1270,66,Glaucidium brodiei,S-01,0,0.54,0
834,GFS,GFS_20190814_200000.wav,476367,477000,1311,1718,101,Otus spilocephalus,S-01,1,0.153,0
835,GFS,GFS_20190815_180000.wav,538499,539635,851,1243,66,Glaucidium brodiei,S-01,0,0.74,0
836,GFS,GFS_20190815_200000.wav,201583,202686,1395,1819,101,Otus spilocephalus,S-01,1,0.17,0.627
837,GFS,GFS_20190816_200000.wav,30904,31000,573,851,88,Ninox japonica,S-01,0,0.417,0
838,GFS,GFS_20190816_200000.wav,354225,354432,555,841,88,Ninox japonica,S-01,0,0.72,0
839,GFS,GFS_20190816_200000.wav,476005,476229,530,841,88,Ninox japonica,S-01,0,0.754,0.398
840,GFS,GFS_20190818_050000.wav,308468,308689,395,681,88,Ninox japonica,S-01,0,0.547,0.595
841,GFS,GFS_20190818_220000.wav,459218,460369,1367,1802,101,Otus spilocephalus,S-01,1,0.366,0.499
842,GFS,GFS_20190819_040000.wav,178286,179278,1395,1785,101,Otus spilocephalus,S-01,1,0.518,0.192
843,GFS,GFS_20190820_200000.wav,116901,117356,344,749,116,Strix nivicolum,S-01,0,0.54,0
844,GFS,GFS_20190821_050000.wav,581353,582000,151,465,115,Strix leptogrammica,S-01,0,0.553,0.502
845,GFS,GFS_20190821_180000.wav,190936,193938,851,1217,66,Glaucidium brodiei,S-01,0,0.682,0
846,GFS,GFS_20190821_180000.wav,250872,253181,820,1339,66,Glaucidium brodiei,S-01,0,0.208,0
847,GFS,GFS_20190821_210000.wav,46021,47142,1311,1718,101,Otus spilocephalus,S-01,1,0.257,0
848,GFS,GFS_20190823_040000.wav,539000,539179,358,883,116,Strix nivicolum,S-01,0,0.618,0.193
849,GFS,GFS_20190823_040000.wav,552883,553000,337,862,116,Strix nivicolum,S-01,0,0.32,0.519
850,GFS,GFS_20190823_040000.wav,556654,556970,337,810,88,Ninox japonica,S-01,0,0.808,0.759
851,GFS,GFS_20190823_040000.wav,573688,573931,441,1042,98,Otus lettia,S-01,1,0.882,0.819
852,GFS,GFS_20190823_180000.wav,562833,563986,862,1178,66,Glaucidium brodiei,S-01,0,0.41,0
853,GFS,GFS_20190824_030000.wav,539000,539351,950,1311,66,Glaucidium brodiei,S-01,0,0.329,0
854,GFS,GFS_20190824_190000.wav,185947,186161,547,830,88,Ninox japonica,S-01,0,0.404,0
855,GFS,GFS_20190827_200000.wav,151080,152628,1325,1735,101,Otus spilocephalus,S-01,1,0.502,0
856,GFS,GFS_20190827_210000.wav,180240,180458,547,820,88,Ninox japonica,S-01,0,0.209,0
857,GFS,GFS_20190828_190000.wav,473415,473620,489,1054,98,Otus lettia,S-01,1,0.492,0.782
858,GFS,GFS_20190828_210000.wav,243780,243979,555,820,88,Ninox japonica,S-01,0,0.236,0
859,GFS,GFS_20190829_000000.wav,196620,197995,1367,1819,101,Otus spilocephalus,S-01,1,0.365,0.102
860,GFS,GFS_20190829_030000.wav,481865,483451,1230,1836,101,Otus spilocephalus,S-01,1,0.585,0.711
861,GFS,GFS_20190901_000000.wav,543539,543745,547,820,88,Ninox japonica,S-01,0,0.152,0
862,GFS,GFS_20190901_010000.wav,66369,67511,1243,1785,101,Otus spilocephalus,S-01,1,0.744,0.731
863,GFS,GFS_20190901_010000.wav,244005,245133,1339,1768,101,Otus spilocephalus,S-01,1,0.595,0.132
864,GFS,GFS_20190901_010000.wav,365144,366174,1483,1836,101,Otus spilocephalus,S-01,1,0.433,0
865,GFS,GFS_20190901_030000.wav,217516,219119,1311,1751,101,Otus spilocephalus,S-01,1,0.344,0.137
866,GFS,GFS_20190901_170000.wav,566606,568229,1284,1685,101,Otus spilocephalus,S-01,0,0.604,0
867,GFS,GFS_20190902_170000.wav,9041,12106,1311,1735,101,Otus spilocephalus,S-01,0,0.488,0
868,GFS,GFS_20190903_040000.wav,38014,39114,1230,1768,101,Otus spilocephalus,S-01,1,0.913,0.815
869,GFS,GFS_20190903_040000.wav,274028,275220,1204,1785,101,Otus spilocephalus,S-01,1,0.899,0.818
870,GFS,GFS_20190903_230000.wav,30638,31736,1230,1785,101,Otus spilocephalus,S-01,1,0.789,0.814
871,GFS,GFS_20190904_040000.wav,460596,461545,1483,1836,101,Otus spilocephalus,S-01,1,0.454,0.297
872,GFS,GFS_20190904_040000.wav,580032,581483,1243,1871,101,Otus spilocephalus,S-01,1,0.85,0.804
873,GFS,GFS_20190904_220000.wav,135021,136245,1204,1819,101,Otus spilocephalus,S-01,1,0.91,0.819
874,GFS,GFS_20190904_220000.wav,288165,289442,1230,1819,101,Otus spilocephalus,S-01,1,0.866,0.766
875,GFS,GFS_20190905_060000.wav,514755,516037,681,1140,66,Glaucidium brodiei,S-01,0,0.217,0
876,GFS,GFS_20190906_030000.wav,303000,303412,1483,1819,101,Otus spilocephalus,S-01,1,0.286,0.292
877,GFS,GFS_20190907_040000.wav,566000,566839,1325,1768,101,Otus spilocephalus,S-01,1,0.161,0.402
878,GFS,GFS_20190908_010000.wav,386532,387000,186,473,115,Strix leptogrammica,S-01,0,0.118,0
879,GFS,GFS_20190908_210000.wav,112819,113101,373,1103,98,Otus lettia,S-01,1,0.802,0.838
880,GFS,GFS_20190908_210000.wav,152330,152606,380,1078,98,Otus lettia,S-01,1,0.897,0.849
881,GFS,GFS_20190909_020000.wav,63243,64911,1270,1751,101,Otus spilocephalus,S-01,1,0.557,0
882,GFS,GFS_20190910_010000.wav,215874,217167,1243,1785,101,Otus spilocephalus,S-01,1,0.804,0.74
883,GFS,GFS_20190910_040000.wav,492044,492716,168,481,115,Strix leptogrammica,S-01,0,0.179,0
884,GFS,GFS_20190911_180000.wav,583455,584066,186,473,115,Strix leptogrammica,S-01,0,0.115,0.227
885,GFS,GFS_20190912_020000.wav,324837,325998,1297,1802,101,Otus spilocephalus,S-01,1,0.605,0.346
886,GFS,GFS_20190912_060000.wav,60453,61709,1424,1889,101,Otus spilocephalus,S-01,1,0.122,0
887,GFS,GFS_20190913_040000.wav,587761,588683,133,465,115,Strix leptogrammica,S-01,0,0.596,0.477
888,GFS,GFS_20190913_190000.wav,505936,506121,555,851,88,Ninox japonica,S-01,0,0.625,0.169
889,GFS,GFS_20190914_050000.wav,70776,72011,1257,1802,101,Otus spilocephalus,S-01,1,0.802,0.785
890,GFS,GFS_20190914_220000.wav,96789,98411,1270,1819,101,Otus spilocephalus,S-01,1,0.378,0.393
891,GFS,GFS_20190915_040000.wav,50181,50429,6126,7735,116,Strix nivicolum,S-01,0,0.173,0
892,GFS,GFS_20190915_050000.wav,121940,122917,1424,1751,101,Otus spilocephalus,S-01,1,0.297,0
893,GFS,GFS_20190915_060000.wav,510837,511050,538,820,88,Ninox japonica,S-01,1,0.67,0.515
894,GFS,GFS_20190915_060000.wav,515328,515528,433,830,88,Ninox japonica,S-01,1,0.537,0.575
895,GFS,GFS_20190918_000000.wav,453342,454732,1243,1785,101,Otus spilocephalus,S-01,1,0.648,0.699
896,GFS,GFS_20190919_060000.wav,552524,553238,830,1230,66,Glaucidium brodiei,S-01,0,0.745,0.718
897,GFS,GFS_20190920_060000.wav,343830,344037,530,851,88,Ninox japonica,S-01,0,0.502,0.187
898,GFS,GFS_20190921_030000.wav,290941,291236,388,841,88,Ninox japonica,S-01,0,0.827,0.534
899,GFS,GFS_20190921_050000.wav,300209,300456,418,995,98,Otus lettia,S-01,1,0.719,0.807
900,GFS,GFS_20190921_050000.wav,310000,310083,465,1042,98,Otus lettia,S-01,1,0.718,0.821
901,GFS,GFS_20190921_050000.wav,317683,317936,433,1030,98,Otus lettia,S-01,1,0.688,0.798
902,GFS,GFS_20190921_050000.wav,326094,326348,395,1042,98,Otus lettia,S-01,1,0.773,0.823
903,GFS,GFS_20190921_050000.wav,487686,487920,473,1030,98,Otus lettia,S-01,1,0.663,0.777
904,GFS,GFS_20190923_060000.wav,560977,561959,927,1424,66,Glaucidium brodiei,S-01,0,0.133,0
905,GFS,GFS_20190924_020000.wav,384800,385000,302,779,116,Strix nivicolum,S-01,0,0.623,0.316
906,GFS,GFS_20190924_030000.wav,326021,326165,344,710,116,Strix nivicolum,S-01,0,0.318,0
907,GFS,GFS_20190924_050000.wav,188461,188860,366,749,116,Strix nivicolum,S-01,0,0.562,0.111
908,GFS,GFS_20190925_020000.wav,101683,101897,337,663,88,Ninox japonica,S-01,0,0.238,0.21
909,GFS,GFS_20190925_020000.wav,466739,466989,403,1066,98,Otus lettia,S-01,1,0.818,0.821
910,GFS,GFS_20190925_060000.wav,414828,415000,395,950,116,Strix nivicolum,S-01,0,0.2,0.319
911,GFS,GFS_20190925_210000.wav,500089,500940,168,505,115,Strix leptogrammica,S-01,0,0.138,0
912,GFS,GFS_20190926_000000.wav,59957,61278,1243,1701,101,Otus spilocephalus,S-01,1,0.673,0
913,GFS,GFS_20190926_000000.wav,232303,233700,1352,1854,101,Otus spilocephalus,S-01,1,0.752,0.74
914,GFS,GFS_20190926_170000.wav,324467,324817,344,729,116,Strix nivicolum,S-01,0,0.272,0.165
915,GFS,GFS_20190926_230000.wav,227000,227281,1270,1751,101,Otus spilocephalus,S-01,1,0.702,0.676
916,GFS,GFS_20190927_020000.wav,222702,222924,581,841,88,Ninox japonica,S-01,0,0.448,0.146
